date,strategy,drawdown
2025-09-19,3. Quintile Momentum,-0.013235992214501592
2025-09-22,3. Quintile Momentum,-0.012579260289411866
2025-09-23,3. Quintile Momentum,-0.02572670968824293
2025-09-24,3. Quintile Momentum,-0.024879186584983323
2025-09-25,3. Quintile Momentum,-0.03326750959636002
2025-09-26,3. Quintile Momentum,-0.03433945118349625
2025-09-29,3. Quintile Momentum,-0.025085712339991604
2025-09-30,3. Quintile Momentum,-0.029055987989316898
2025-10-01,3. Quintile Momentum,-0.01748348465482306
2025-10-02,3. Quintile Momentum,-0.016262264052379568
2025-10-03,3. Quintile Momentum,-0.016282570256456252
2025-10-06,3. Quintile Momentum,-0.013955266253953519
2025-10-07,3. Quintile Momentum,-0.007568614292886194
2025-10-08,3. Quintile Momentum,-0.0013507468277132526
2025-10-09,3. Quintile Momentum,-0.0017778795409843986
2025-10-10,3. Quintile Momentum,-0.002874090118997882
2025-10-13,3. Quintile Momentum,0.0
2025-10-14,3. Quintile Momentum,-0.0133045875602804
2025-10-15,3. Quintile Momentum,-0.00895460533290221
2025-10-16,3. Quintile Momentum,-0.015287534933319916
2025-10-17,3. Quintile Momentum,-0.01638798483808204
2025-10-20,3. Quintile Momentum,-0.004808753827645813
2025-10-21,3. Quintile Momentum,0.0
2025-10-22,3. Quintile Momentum,-0.011949473003416266
2025-10-23,3. Quintile Momentum,-0.003925258522828044
2025-10-24,3. Quintile Momentum,-0.003944723650146187
2025-10-27,3. Quintile Momentum,0.0
2025-10-28,3. Quintile Momentum,0.0
2025-10-29,3. Quintile Momentum,-0.005687683688297954
2025-10-30,3. Quintile Momentum,-0.01676509017517483
2025-10-31,3. Quintile Momentum,-0.01897335810747301
2025-11-03,3. Quintile Momentum,-0.027781782695292502
2025-11-04,3. Quintile Momentum,-0.03822352248339722
2025-11-05,3. Quintile Momentum,-0.03848706187061331
2025-11-06,3. Quintile Momentum,-0.060936185429644976
2025-11-07,3. Quintile Momentum,-0.060940632520295294
2025-11-10,3. Quintile Momentum,-0.04467482174643244
2025-11-11,3. Quintile Momentum,-0.04567648243862597
2025-11-12,3. Quintile Momentum,-0.05699854321410158
2025-11-13,3. Quintile Momentum,-0.06375277857080665
2025-11-14,3. Quintile Momentum,-0.06480671600701292
2025-11-17,3. Quintile Momentum,-0.07658589776634614
2025-11-18,3. Quintile Momentum,-0.0863864810854445
2025-11-19,3. Quintile Momentum,-0.08787704340074699
2025-11-20,3. Quintile Momentum,-0.08927218002996959
2025-11-21,3. Quintile Momentum,-0.09028601791659603
2025-11-24,3. Quintile Momentum,-0.07406661340626586
2025-11-25,3. Quintile Momentum,-0.05342794563731498
2025-11-26,3. Quintile Momentum,-0.05344692700237141
2025-05-30,4. Quintile Low Vol,0.0
2025-06-02,4. Quintile Low Vol,0.0
2025-06-03,4. Quintile Low Vol,0.0
